room_type,sunday_tariff,monday_tariff,tuesday_tariff,wednesday_tariff,thursday_tariff,friday_tariff,saturday_tariff,Average_Tariff
A/C Glass Room (Island),3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0,3000.0
A/C SUITE,2764.4444444444443,2506.6666666666665,2506.6666666666665,2506.6666666666665,2506.6666666666665,2764.4444444444443,2764.4444444444443,2617.1428571428573
A/C DELUXE,2245.0,1870.0,1870.0,1870.0,1870.0,2245.0,2245.0,2030.7142857142858
NEW NON A/C DORMITORY(4 BEDDED) ROOM,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0,2016.0
A/C Lake View,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0,2000.0
A/C STANDARD,2139.5,1789.5,1789.5,1789.5,1789.5,2139.5,2139.5,1939.5
NEW COTTAGES A/C ROOMS,2000.0,1800.0,1800.0,1800.0,1800.0,2000.0,2000.0,1885.7142857142858
NON A/C DORMITORY 6 BEDDED,1800.0,1600.0,1600.0,1600.0,1600.0,1800.0,1800.0,1685.7142857142858
A/C DORMITORY 5 BEDDED,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0,1680.0
A/C DELUXE (NEW),1800.0,1500.0,1500.0,1500.0,1500.0,1800.0,1800.0,1628.5714285714287
NON A/C DORMITORY(BASEMENT),1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0,1600.0
A/C 4 BEDDED ROOM,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0,1450.0
A/C ROOM,1449.0,1395.388888888889,1395.388888888889,1395.388888888889,1395.388888888889,1449.0,1449.0,1418.3650793650793
NON A/C 4 BEDDED ROOM,1367.5,1367.5,1367.5,1367.5,1367.5,1367.5,1367.5,1367.5
GLASS COTTAGES,1340.0,1200.0,1200.0,1200.0,1200.0,1340.0,1340.0,1260.0
A/C ROOM (OLD),1200.0,1100.0,1100.0,1100.0,1100.0,1200.0,1200.0,1142.857142857143
NEW NON A/C ROOMS,1200.0,999.0,999.0,999.0,999.0,1200.0,1200.0,1085.142857142857
NON A/C ROOM 2 BEDDED,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0,1070.0
TENTED COTTAGES,1160.0,999.0,999.0,999.0,999.0,1160.0,1160.0,1068.0
NON A/C DORMITORY,1024.5,1024.5,1024.5,1024.5,1024.5,1024.5,1024.5,1024.5
NON A/C DORMITORY 5 BEDDED,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
CONFERENCE HALL,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
NON AC DORMITORY 5 BEDDED(BASEMENT),1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0,1000.0
NON A/C COTTAGES,1050.0,950.0,950.0,950.0,950.0,1050.0,1050.0,992.8571428571429
NON A/C ROOM,982.6666666666666,946.1333333333333,946.1333333333333,946.1333333333333,946.1333333333333,982.6666666666666,982.6666666666666,961.7904761904763
NON A/C 3 BEDDED ROOM,850.0,850.0,850.0,850.0,850.0,850.0,850.0,850.0
NON A/C ROOM  (OLD),824.5,749.5,749.5,749.5,749.5,824.5,824.5,781.6428571428571
NON A/C DORMITORY 4 BEDDED,750.0,750.0,750.0,750.0,750.0,750.0,750.0,750.0
NON A/C DELUXE,700.0,700.0,700.0,700.0,700.0,700.0,700.0,700.0
DORMITORY TWO BEDDED (OLD),500.0,500.0,500.0,500.0,500.0,500.0,500.0,500.0
