hotel,city,address,contact,lat,long
ALAMPUR,ALAMPUR,"Haritha Hotel Alampur,  Alampur, Jogulamba Gadwal District, Telangana",9705392100,15.8798959,78.126955
ALISAGAR,ALISAGAR,"Haritha Hotel Alisagar, Alisagar, Nizambad District, Telangana",7997253366,18.6760051,78.0111574
ANANTHAGIRI VIKARABAD,ANANTHAGIRI VIKARABAD,"Haritha Hotel Ananthagiri, Ananthagiri Hills, Vikarabad, Telangana",9010911122,17.3117741,77.875494
"BASARA,HARITHA HOTEL",BASARA,"Haritha Hotel Basar, Basar, Nirmal District, Telangana",9848074462,18.8795107,77.9562862
"BHADRACHALAM,HARITHA HOTEL",BHADRACHALAM,"Haritha Hotel Bhadrachalam, Bhadrachalam, Bhadradri Kothagudem District, Telangana",9848823073,17.671396,80.888053
DHARMAPURI HARITHA HOTEL,DHARMAPURI,"Haritha Hotel Dharmapuri, Dharmapuri, Jagitial District, Telangana",8499830816,18.946652,79.101702
EEGALAPENTA HARITHA HOTEL,EEGALAPENTA(Near Srisailam Dam West),Near Srisailam Dam West,9912233234,16.09154704,78.89260776
GADWAL,GADWAL,"Haritha Hotel Gadwal, Gadwal, Jogulamba Gadwal District, Telangana",9705391200,16.2164079,77.8192031
HARITHA HOTEL KADEM,KADEM,"Haritha Hotel Kadem, Kadem, Nirmal District, Telangana",9133053007,19.100829,78.778184
INDUR INN,NIZAMABAD,"Haritha Hotel Indur Inn, Nizamabad, Nizamabad District, Telangana",9603667724,18.6770866,78.102467
"JANNARAM,HARITHA HOTEL",JANNARAM,"Haritha Hotel Jannaram, Jannaram, Mancherial District, Telangana",9133051007,19.116908,78.99899542
KAKATIYA,WARANGAL,"Haritha Hotel Kakatiya, Nakkalagutta, Hanmakonda, Warangal District, Telangana",9951022203,17.9986665,79.5552418
KALESHWARAM HARITHA HOTEL,KALESHWARAM,"Haritha Hotel Kaleshwaram, Kaleshwaram, Bhupalpally District, Telangana",9951239018,18.80545417,79.90502022
"KEESARAGUTTA,HARITHA HOTEL",KEESARAGUTTA,"Haritha Hotel Keesaragutta, Keesaragutta, Medchal - Malkajgiri District, Telangana",9010077395,17.5299982,78.6880909
KONDAGATTU HARITHA HOTEL,KONDAGATTU,"Haritha Hotel Kondagattu, Kondagattu, Jagitial District, Telangana",9493370431,18.6777447,78.9220117
KOTHAKONDA HARITHA HOTEL,KOTHAKONDA,"Kothakonda, Warangal Rural",9014709313,18.0390794,79.3183189
LAKNAVARAM,LAKNAVARAM,"Haritha Hotel Laknavaram, Govindarao Pet, Warangal Rural District, Telangana",9642454454,17.998667,79.555242
MANNANUR HARITHA HOTEL,MANNANUR,"Mannanur, Nagarkurnool Dist",9573758636,16.36119266,78.74429269
"MEDAK FORT,HARITHA HERITAGE HOTEL",MEDAK,"Haritha Hotel Medak, Medak Fort, Medak District, Telangana",9133533917,18.044368,78.254759
MEDARAM,MEDARAM,"Haritha Hotel Medaram, Medaram, Warangal Rural District, Telangana",9989178402,18.32223978,80.23524472
PAKHALA HARITHA HOTEL,PAKAL,"Haritha Hotel Pakhala, Pakhala, Warangal Rural District, Telangana",9848644969,17.95102649,79.97937152
POCHAMPALLY HARITHA HOTEL,POCHAMPALLY,"Haritha Hotel Pochampally, Pochampally, Yadadri Bhuvanagiri District, Telangana",9010264700,16.9011059,79.0501762
RAMAPPA,RAMMAPPA,"Haritha Hotel Ramappa, Ramappa, Warangal Rural District, Telangana",8686949515,18.252698,79.938946
SHAMIRPET LAKE RESORT,SHAMIRPET,"Haritha Hotel Shamirpet, Shamirpet, Medchal Malkajgiri District, Telangana",9553586349,17.6008704,78.5642346
SINGOOR,SINGOOR,"Haritha Hotel Singoor, Singoor, Sanga Reddy District, Telangana",9951968300,17.733582,77.91967
SINGOTAM HARITHA HOTEL,SINGOTAM,"Singotam, Mahbubnagar",9133322542,16.0470392,78.3267035
SOMASILA HARITHA HOTEL,SOMASILA,"Haritha Hotel Somasila, Somasila, Mahabubnagar District, Telangana",9133322542,16.0470392,78.3267035
TADVAI HARITHA HOTEL,TADVAI,"Tadvai, Jayashankar District",9493549399,18.23819148,80.31464922
"TARAMATI BARADARI,HARITHA,IBHRAHIMBAGH,HYDERABAD",HYDERABAD,"Haritha Taramati Baradari, Ibrahimbagh, Gandipet, Hyderabad",9848827102,17.375459,78.379662
THE PLAZA,HYDERABAD,"The Plaza, Begumpet, Hyderabad",9553833316,17.4451145,78.4677545
VEMULAWADA HARITHA HOTEL,VEMULAWADA,"Haritha Hotel Vemulawada, Vemulawada, Rajanna Siricilla District, Telangana",8499830815,18.4585121,78.867124
"VIJAY VIHAR,NAGRJUNSAGAR",NAGARJUNA SAGAR,"Haritha Hotel Vijay Vihar, Nagarjunasagar, Nalgonda District, Telangana",9705188336,16.610465,79.295754
"YADAGIRIGUTTA,NALGONDA,HARITHA HOTEL",YADAGIRIGUTTA,"Haritha Hotel Yadagirigutta, Yadadri Bhuvanagiri District, Telangana",9848823074,17.5924099,78.9425352
